OS_Code,LA Name,PTAC5EM
E09000001,City of London,
E09000007,Camden,60.4
E09000011,Greenwich,65.4
E09000012,Hackney,61.2
E09000013,Hammersmith and Fulham,66.5
E09000019,Islington,63.5
E09000020,Kensington and Chelsea,80.2
E09000022,Lambeth,65.9
E09000023,Lewisham,58
E09000028,Southwark,65.2
E09000030,Tower Hamlets,64.7
E09000032,Wandsworth,61.3
E09000033,Westminster,69.6
E09000002,Barking and Dagenham,60.2
E09000003,Barnet,71.5
E09000004,Bexley,66
E09000005,Brent,62.9
E09000006,Bromley,73.9
E09000008,Croydon,64.4
E09000009,Ealing,60.9
E09000010,Enfield,63.2
E09000014,Haringey,63.5
E09000015,Harrow,65.4
E09000016,Havering,63.7
E09000017,Hillingdon,61.6
E09000018,Hounslow,66.7
E09000021,Kingston upon Thames,71.6
E09000024,Merton,62.6
E09000025,Newham,58.4
E09000026,Redbridge,70.2
E09000027,Richmond upon Thames,68.3
E09000029,Sutton,77
E09000031,Waltham Forest,56.7
E08000025,Birmingham,59.8
E08000026,Coventry,56.4
E08000027,Dudley,59.7
E08000028,Sandwell,54.1
E08000029,Solihull,67.1
E08000030,Walsall,58.7
E08000031,Wolverhampton,61
E08000011,Knowsley,43.7
E08000012,Liverpool,56
E08000013,St. Helens,55.5
E08000014,Sefton,60.9
E08000015,Wirral,66.2
E08000001,Bolton,60.7
E08000002,Bury,62.3
E08000003,Manchester,53.1
E08000004,Oldham,57
E08000005,Rochdale,56.2
E08000006,Salford,54.8
E08000007,Stockport,65.8
E08000008,Tameside,59.4
E08000009,Trafford,70.5
E08000010,Wigan,63.8
E08000016,Barnsley,50.3
E08000017,Doncaster,56.6
E08000018,Rotherham,63.6
E08000019,Sheffield,57.3
E08000032,Bradford,53
E08000033,Calderdale,65.7
E08000034,Kirklees,62.6
E08000035,Leeds,57.3
E08000036,Wakefield,66.3
E08000020,Gateshead,61.7
E08000021,Newcastle upon Tyne,57.3
E08000022,North Tyneside,64.8
E08000023,South Tyneside,59.2
E08000024,Sunderland,60.1
E06000053,Isles of Scilly,81
E06000022,Bath and North East Somerset,63.6
E06000023,"Bristol, City of",52.3
E06000024,North Somerset,58.5
E06000025,South Gloucestershire,56.7
E06000001,Hartlepool,59
E06000002,Middlesbrough,50.3
E06000003,Redcar and Cleveland,55.1
E06000004,Stockton-on-Tees,57.4
E06000010,"Kingston upon Hull, City of",50
E06000011,East Riding of Yorkshire,61
E06000012,North East Lincolnshire,58.5
E06000013,North Lincolnshire,56.8
E10000023,North Yorkshire,65.4
E06000014,York,67.4
E06000032,Luton,58.7
E06000055,Bedford,59.7
E06000056,Central Bedfordshire,57.7
E10000002,Buckinghamshire,71.3
E06000042,Milton Keynes,61.3
E10000007,Derbyshire,59.1
E06000015,Derby,55.6
E10000009,Dorset,58.9
E06000029,Poole,62.3
E06000028,Bournemouth,63
E06000047,Durham,63.1
E06000005,Darlington,64.8
E10000011,East Sussex,59.9
E06000043,Brighton and Hove,62.2
E10000014,Hampshire,60
E06000044,Portsmouth,47.6
E06000045,Southampton,58.1
E10000018,Leicestershire,59.5
E06000016,Leicester,54.8
E06000017,Rutland,67.2
E10000028,Staffordshire,59.9
E06000021,Stoke-on-Trent,49.9
E06000054,Wiltshire,61
E06000030,Swindon,56.4
E06000036,Bracknell Forest,
E06000040,Windsor and Maidenhead,68.3
E06000037,West Berkshire,61.3
E06000038,Reading,63.6
E06000039,Slough,71.4
E06000041,Wokingham,70.6
E10000003,Cambridgeshire,61
E06000031,Peterborough,56.2
E06000006,Halton,62.5
E06000007,Warrington,65.7
E10000008,Devon,59.6
E06000026,Plymouth,60.8
E06000027,Torbay,60.9
E10000012,Essex,60.5
E06000033,Southend-on-Sea,61.9
E06000034,Thurrock,59.5
E06000019,Herefordshire,56.1
E10000034,Worcestershire,62.9
E10000016,Kent,63.1
E06000035,Medway,60.9
E10000017,Lancashire,61.2
E06000008,Blackburn with Darwen,59.5
E06000009,Blackpool,46.1
E10000024,Nottinghamshire,63.4
E06000018,Nottingham,50.3
E06000051,Shropshire,60.4
E06000020,Telford and Wrekin,58.6
E06000049,Cheshire East,62.4
E06000050,Cheshire West and Chester,63
E06000052,Cornwall,59.6
E10000006,Cumbria,56.5
E10000013,Gloucestershire,61.8
E10000015,Hertfordshire,66.3
E06000046,Isle of Wight,48.7
E10000019,Lincolnshire,61.8
E10000020,Norfolk,54.4
E10000021,Northamptonshire,58.1
E06000048,Northumberland,55.2
E10000025,Oxfordshire,60.6
E10000027,Somerset,58
E10000029,Suffolk,54.6
E10000030,Surrey,67.5
E10000031,Warwickshire,65.3
E10000032,West Sussex,59.9
